Nome do Computador,Destino da Política,Subcategoria,GUID de Subcategoria,Configuração de Inclusão,Configuração de Exclusão
DESKTOP-VS678NC,Sistema,Gerenciamento de grupo de distribuição,{0CCE9238-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Gerenciamento de grupo de aplicativos,{0CCE9239-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Outros Eventos de Gerenciamento de Contas,{0CCE923A-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Gerenciamento de conta de usuário,{0CCE9235-69AE-11D9-BED3-505054503030},Êxito,

DESKTOP-VS678NC,Sistema,Acesso ao serviço de diretório,{0CCE923B-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Alterações no serviço de diretório,{0CCE923C-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Replicação do serviço de diretório,{0CCE923D-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Replicação detalhada do serviço de diretório,{0CCE923E-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Operações do Tíquete de serviço Kerberos,{0CCE9240-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Outros Eventos de Logon de Conta,{0CCE9241-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Serviço de Autenticação Kerberos,{0CCE9242-69AE-11D9-BED3-505054503030},Sem Auditoria,

DESKTOP-VS678NC,Sistema,Validação de Credenciais,{0CCE923F-69AE-11D9-BED3-505054503030},Sem Auditoria,

